"All assets information, media account 'dolphmediasvc301'"
Exported with Azure Media Services Explorer v5.8.1.0 on 6/10/2024 11:30:16 AM. Dates are local.
Asset name,Description,Alternate Id,Asset Id,Created time,Last modified time,Storage account,Storage container,Asset type,Size,Streaming locators count,In MK/IO,Locator name #1,Created time,Start time,End time,Streaming Urls with streaming endpoint #0
output-000195d5285d4b068530ab0506d9eba0,,,960b95d7-af0b-4317-b59e-086fff868eb8,8/12/2020 7:35:41 PM,8/12/2020 7:35:41 PM,dolphmediastorage301,asset-960b95d7-af0b-4317-b59e-086fff868eb8,Multi Bitrate MP4 (4),30568364,1,True,locator-000195d5285d4b068530ab0506d9eba0,8/12/2020 7:36:42 PM,,12/31/9999 5:59:59 PM,"https://dolphmediasvc301-usno1.streaming.media.azure.net/d8616a57-de0e-4496-9e51-09dbbe906423/TwinBlockApplianceTextured_Water.ism/manifest(format=mpd-time-csf,encryption=cenc), https://dolphmediasvc301-usno1.streaming.media.azure.net/d8616a57-de0e-4496-9e51-09dbbe906423/TwinBlockApplianceTextured_Water.ism/manifest(format=mpd-time-cmaf,encryption=cenc), https://dolphmediasvc301-usno1.streaming.media.azure.net/d8616a57-de0e-4496-9e51-09dbbe906423/TwinBlockApplianceTextured_Water.ism/manifest(encryption=cenc)"
output-0094cba9cf3449859fadb7958336a5b5,,,676ce05c-905e-491b-9267-c24d00f53b09,8/12/2020 2:28:40 PM,8/12/2020 2:28:40 PM,dolphmediastorage301,asset-676ce05c-905e-491b-9267-c24d00f53b09,Multi Bitrate MP4 (4),14860383,1,True,locator-0094cba9cf3449859fadb7958336a5b5,8/12/2020 2:29:42 PM,,12/31/9999 5:59:59 PM,"https://dolphmediasvc301-usno1.streaming.media.azure.net/b61b3ead-3dd0-4019-b053-b4832bb26106/HerbstApplianceTextured_Watermar.ism/manifest(format=mpd-time-csf,encryption=cenc), https://dolphmediasvc301-usno1.streaming.media.azure.net/b61b3ead-3dd0-4019-b053-b4832bb26106/HerbstApplianceTextured_Watermar.ism/manifest(format=mpd-time-cmaf,encryption=cenc), https://dolphmediasvc301-usno1.streaming.media.azure.net/b61b3ead-3dd0-4019-b053-b4832bb26106/HerbstApplianceTextured_Watermar.ism/manifest(encryption=cenc)"
output-010bd84e271d43ab8b6871f0dfcc3eac,,,b67a1ecc-8540-4bfd-8b09-ded81854883c,8/12/2020 1:34:32 PM,8/12/2020 1:34:32 PM,dolphmediastorage301,asset-b67a1ecc-8540-4bfd-8b09-ded81854883c,Multi Bitrate MP4 (4),7052631,1,True,locator-010bd84e271d43ab8b6871f0dfcc3eac,8/12/2020 1:35:33 PM,,12/31/9999 5:59:59 PM,"https://dolphmediasvc301-usno1.streaming.media.azure.net/108cd64a-6385-427b-b8f2-c80aa57e6061/FlipperDentureLateralsMx_Waterma.ism/manifest(format=mpd-time-csf,encryption=cenc), https://dolphmediasvc301-usno1.streaming.media.azure.net/108cd64a-6385-427b-b8f2-c80aa57e6061/FlipperDentureLateralsMx_Waterma.ism/manifest(format=mpd-time-cmaf,encryption=cenc), https://dolphmediasvc301-usno1.streaming.media.azure.net/108cd64a-6385-427b-b8f2-c80aa57e6061/FlipperDentureLateralsMx_Waterma.ism/manifest(encryption=cenc)"
output-013946f35ce145be814c34b1bbefd09c,,,f35cac85-e3fe-456c-a29f-653916bc4300,8/12/2020 9:31:48 AM,8/12/2020 9:31:48 AM,dolphmediastorage301,asset-f35cac85-e3fe-456c-a29f-653916bc4300,Multi Bitrate MP4 (4),6301967,1,True,locator-013946f35ce145be814c34b1bbefd09c,8/12/2020 9:32:50 AM,,12/31/9999 5:59:59 PM,"https://dolphmediasvc301-usno1.streaming.media.azure.net/225ddeb0-335c-40cd-968c-b91675318241/2x4ApplianceCrowdingCoilTextured.ism/manifest(format=mpd-time-csf,encryption=cenc), https://dolphmediasvc301-usno1.streaming.media.azure.net/225ddeb0-335c-40cd-968c-b91675318241/2x4ApplianceCrowdingCoilTextured.ism/manifest(format=mpd-time-cmaf,encryption=cenc), https://dolphmediasvc301-usno1.streaming.media.azure.net/225ddeb0-335c-40cd-968c-b91675318241/2x4ApplianceCrowdingCoilTextured.ism/manifest(encryption=cenc)"
output-01be149ffadb449c81cecd765e3ed774,,,dfa6e3b4-a901-45a8-a7bb-f60d84691f4f,8/12/2020 12:36:00 PM,8/12/2020 12:36:00 PM,dolphmediastorage301,asset-dfa6e3b4-a901-45a8-a7bb-f60d84691f4f,Multi Bitrate MP4 (4),22644258,1,True,locator-01be149ffadb449c81cecd765e3ed774,8/12/2020 12:37:01 PM,,12/31/9999 5:59:59 PM,"https://dolphmediasvc301-usno1.streaming.media.azure.net/10240830-73eb-4d58-b3e1-ebfc3f9214a6/DistalJetExpanderMixedDentition_.ism/manifest(format=mpd-time-csf,encryption=cenc), https://dolphmediasvc301-usno1.streaming.media.azure.net/10240830-73eb-4d58-b3e1-ebfc3f9214a6/DistalJetExpanderMixedDentition_.ism/manifest(format=mpd-time-cmaf,encryption=cenc), https://dolphmediasvc301-usno1.streaming.media.azure.net/10240830-73eb-4d58-b3e1-ebfc3f9214a6/DistalJetExpanderMixedDentition_.ism/manifest(encryption=cenc)"
output-028170c2a97c405590a56bce75b693c4,,,68c3f659-f627-447d-8efc-b3d4d4a142e3,8/12/2020 10:51:31 AM,8/12/2020 10:51:31 AM,dolphmediastorage301,asset-68c3f659-f627-447d-8efc-b3d4d4a142e3,Multi Bitrate MP4 (4),16882213,1,True,locator-028170c2a97c405590a56bce75b693c4,8/12/2020 10:52:32 AM,,12/31/9999 5:59:59 PM,"https://dolphmediasvc301-usno1.streaming.media.azure.net/6ac8e142-1744-4408-8af6-716c29371c18/BracketLigationSurgeryWireHooksT.ism/manifest(format=mpd-time-csf,encryption=cenc), https://dolphmediasvc301-usno1.streaming.media.azure.net/6ac8e142-1744-4408-8af6-716c29371c18/BracketLigationSurgeryWireHooksT.ism/manifest(format=mpd-time-cmaf,encryption=cenc), https://dolphmediasvc301-usno1.streaming.media.azure.net/6ac8e142-1744-4408-8af6-716c29371c18/BracketLigationSurgeryWireHooksT.ism/manifest(encryption=cenc)"
output-036da5da4b5443429494b689ba9cf216,,,dcd4e1db-5205-48be-a9b8-a38ea2b9fe8c,8/12/2020 6:15:43 PM,8/12/2020 6:15:43 PM,dolphmediastorage301,asset-dcd4e1db-5205-48be-a9b8-a38ea2b9fe8c,Multi Bitrate MP4 (4),16742710,1,True,locator-036da5da4b5443429494b689ba9cf216,8/12/2020 6:16:44 PM,,12/31/9999 5:59:59 PM,"https://dolphmediasvc301-usno1.streaming.media.azure.net/bc270c5b-ad24-47f1-bc17-f4e1eb382360/SuperFlossTextured_Watermarked.ism/manifest(format=mpd-time-csf,encryption=cenc), https://dolphmediasvc301-usno1.streaming.media.azure.net/bc270c5b-ad24-47f1-bc17-f4e1eb382360/SuperFlossTextured_Watermarked.ism/manifest(format=mpd-time-cmaf,encryption=cenc), https://dolphmediasvc301-usno1.streaming.media.azure.net/bc270c5b-ad24-47f1-bc17-f4e1eb382360/SuperFlossTextured_Watermarked.ism/manifest(encryption=cenc)"
output-03b1a82e84c54de9b4a57060af5947d5,,,6703df6e-0d7c-4e3e-80e8-5307d95b30d4,8/12/2020 10:31:29 AM,8/12/2020 10:31:29 AM,dolphmediastorage301,asset-6703df6e-0d7c-4e3e-80e8-5307d95b30d4,Multi Bitrate MP4 (4),23499887,1,True,locator-03b1a82e84c54de9b4a57060af5947d5,8/12/2020 10:32:30 AM,,12/31/9999 5:59:59 PM,"https://dolphmediasvc301-usno1.streaming.media.azure.net/b887fa4d-4da7-41de-9490-f784fbeb3e1f/BlueGrassAppliance_Watermarked.ism/manifest(format=mpd-time-csf,encryption=cenc), https://dolphmediasvc301-usno1.streaming.media.azure.net/b887fa4d-4da7-41de-9490-f784fbeb3e1f/BlueGrassAppliance_Watermarked.ism/manifest(format=mpd-time-cmaf,encryption=cenc), https://dolphmediasvc301-usno1.streaming.media.azure.net/b887fa4d-4da7-41de-9490-f784fbeb3e1f/BlueGrassAppliance_Watermarked.ism/manifest(encryption=cenc)"
output-03cb4f17a8704cc7aa75c215e3e71e00,,,00918349-c665-426f-b2f1-6e87040e6915,8/12/2020 11:17:58 AM,8/12/2020 11:17:58 AM,dolphmediastorage301,asset-00918349-c665-426f-b2f1-6e87040e6915,Multi Bitrate MP4 (4),2016989,1,True,locator-03cb4f17a8704cc7aa75c215e3e71e00,8/12/2020 11:18:59 AM,,12/31/9999 5:59:59 PM,"https://dolphmediasvc301-usno1.streaming.media.azure.net/fd7f3385-5b42-4e9d-b4fa-d128b1a57ab9/ClassIBuccalCrossbiteTextured_Wa.ism/manifest(format=mpd-time-csf,encryption=cenc), https://dolphmediasvc301-usno1.streaming.media.azure.net/fd7f3385-5b42-4e9d-b4fa-d128b1a57ab9/ClassIBuccalCrossbiteTextured_Wa.ism/manifest(format=mpd-time-cmaf,encryption=cenc), https://dolphmediasvc301-usno1.streaming.media.azure.net/fd7f3385-5b42-4e9d-b4fa-d128b1a57ab9/ClassIBuccalCrossbiteTextured_Wa.ism/manifest(encryption=cenc)"
output-03e9513df1214f8da392824c8215ffa3,,,03c2fec9-84d1-41e5-9e2c-07f7a7860f9e,8/12/2020 3:14:42 PM,8/12/2020 3:14:42 PM,dolphmediastorage301,asset-03c2fec9-84d1-41e5-9e2c-07f7a7860f9e,Multi Bitrate MP4 (4),12203954,1,True,locator-03e9513df1214f8da392824c8215ffa3,8/12/2020 3:15:43 PM,,12/31/9999 5:59:59 PM,"https://dolphmediasvc301-usno1.streaming.media.azure.net/1f9430bc-31c3-4502-89af-5fc6314a5505/LingualBracesOrmcoSTb360_Waterma.ism/manifest(format=mpd-time-csf,encryption=cenc), https://dolphmediasvc301-usno1.streaming.media.azure.net/1f9430bc-31c3-4502-89af-5fc6314a5505/LingualBracesOrmcoSTb360_Waterma.ism/manifest(format=mpd-time-cmaf,encryption=cenc), https://dolphmediasvc301-usno1.streaming.media.azure.net/1f9430bc-31c3-4502-89af-5fc6314a5505/LingualBracesOrmcoSTb360_Waterma.ism/manifest(encryption=cenc)"
